,sdata,PYR,BC,OLM,loss,time_this_iter_s,done,training_iteration,trial_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/netParams.connParams.BC->BC_GABA.weight,config/netParams.connParams.BC->PYR_GABA.weight,config/netParams.connParams.OLM->PYR_GABA.weight,config/netParams.connParams.PYR->BC_NMDA.weight,config/netParams.connParams.PYR->OLM_NMDA.weight,config/netParams.connParams.PYR->PYR_NMDA.weight,logdir
0,"netParams.connParams.BC->BC_GABA.weight       0.003935
netParams.connParams.PYR->BC_NMDA.weight      0.001516
netParams.connParams.BC->PYR_GABA.weight      0.001045
netParams.connParams.PYR->OLM_NMDA.weight     0.000459
netParams.connParams.OLM->PYR_GABA.weight     0.088704
netParams.connParams.PYR->PYR_NMDA.weight     0.000003
PYR                                           3.640000
BC                                           22.800000
OLM                                           1.790000
dtype: float64",3.64,22.8,1.79,4.174133333333336,39.55118942260742,False,1,25342392,2023-07-30_22-43-59,1690771439,39.55118942260742,292960,node17,10.0.0.17,39.55118942260742,1,0.003935430534813131,0.0010445143006151396,0.08870356381042116,0.0015161487081919102,0.00045921304830970556,2.6239780813448104e-06,"/ddn/jchen/dev/optimization/batchdir/ray_ses/bopt/objective_25342392_1_netParams_connParams_BC-_BC_GABA_weight=0.0039,netParams_connParams_BC-_PYR_GABA_weight=0.0010,netParams_conn_2023-07-30_22-43-13"
1,"netParams.connParams.BC->BC_GABA.weight       0.002511
netParams.connParams.PYR->BC_NMDA.weight      0.001667
netParams.connParams.BC->PYR_GABA.weight      0.000984
netParams.connParams.PYR->OLM_NMDA.weight     0.000364
netParams.connParams.OLM->PYR_GABA.weight     0.079280
netParams.connParams.PYR->PYR_NMDA.weight     0.000006
PYR                                           3.280000
BC                                           24.600000
OLM                                           1.360000
dtype: float64",3.28,24.6,1.36,9.488566666666673,33.07578730583191,False,1,22890831,2023-07-30_22-44-33,1690771473,33.07578730583191,292960,node17,10.0.0.17,33.07578730583191,1,0.0025113762547568975,0.0009836468249579532,0.07928028084551102,0.0016671401573585425,0.0003644091460070617,5.879639408647978e-06,"/ddn/jchen/dev/optimization/batchdir/ray_ses/bopt/objective_22890831_2_netParams_connParams_BC-_BC_GABA_weight=0.0025,netParams_connParams_BC-_PYR_GABA_weight=0.0010,netParams_conn_2023-07-30_22-44-00"
2,"netParams.connParams.BC->BC_GABA.weight       0.005996
netParams.connParams.PYR->BC_NMDA.weight      0.000943
netParams.connParams.BC->PYR_GABA.weight      0.000513
netParams.connParams.PYR->OLM_NMDA.weight     0.000563
netParams.connParams.OLM->PYR_GABA.weight     0.049091
netParams.connParams.PYR->PYR_NMDA.weight     0.000004
PYR                                           4.410000
BC                                           19.700000
OLM                                           4.540000
dtype: float64",4.41,19.7,4.54,0.7632666666666669,32.29375505447388,False,1,62aa73fe,2023-07-30_22-45-05,1690771505,32.29375505447388,292960,node17,10.0.0.17,32.29375505447388,1,0.0059959918836018965,0.0005128841596883588,0.04909139763891124,0.0009430982235977386,0.0005629695700716764,4.099025726528952e-06,"/ddn/jchen/dev/optimization/batchdir/ray_ses/bopt/objective_62aa73fe_3_netParams_connParams_BC-_BC_GABA_weight=0.0060,netParams_connParams_BC-_PYR_GABA_weight=0.0005,netParams_conn_2023-07-30_22-44-33"
3,"netParams.connParams.BC->BC_GABA.weight       0.004194
netParams.connParams.PYR->BC_NMDA.weight      0.000883
netParams.connParams.BC->PYR_GABA.weight      0.000570
netParams.connParams.PYR->OLM_NMDA.weight     0.000555
netParams.connParams.OLM->PYR_GABA.weight     0.080053
netParams.connParams.PYR->PYR_NMDA.weight     0.000003
PYR                                           4.390000
BC                                           20.100000
OLM                                           3.380000
dtype: float64",4.39,20.1,3.38,0.4235333333333337,33.62555456161499,False,1,f4bd35f9,2023-07-30_22-45-39,1690771539,33.62555456161499,292960,node17,10.0.0.17,33.62555456161499,1,0.00419375258388952,0.0005696849809425902,0.08005340842001131,0.0008825015276998176,0.0005545012539746527,3.465447373174767e-06,"/ddn/jchen/dev/optimization/batchdir/ray_ses/bopt/objective_f4bd35f9_4_netParams_connParams_BC-_BC_GABA_weight=0.0042,netParams_connParams_BC-_PYR_GABA_weight=0.0006,netParams_conn_2023-07-30_22-45-05"
4,"netParams.connParams.BC->BC_GABA.weight       0.004302
netParams.connParams.PYR->BC_NMDA.weight      0.001400
netParams.connParams.BC->PYR_GABA.weight      0.000925
netParams.connParams.PYR->OLM_NMDA.weight     0.000765
netParams.connParams.OLM->PYR_GABA.weight     0.050377
netParams.connParams.PYR->PYR_NMDA.weight     0.000002
PYR                                           3.110000
BC                                           18.100000
OLM                                           3.130000
dtype: float64",3.11,18.1,3.13,0.909499999999998,32.711790561676025,False,1,66da0183,2023-07-30_22-46-11,1690771571,32.711790561676025,292960,node17,10.0.0.17,32.711790561676025,1,0.004302314928976661,0.0009253266922029698,0.0503765123154019,0.0013996435250107839,0.0007646901982034296,2.1858016508799907e-06,"/ddn/jchen/dev/optimization/batchdir/ray_ses/bopt/objective_66da0183_5_netParams_connParams_BC-_BC_GABA_weight=0.0043,netParams_connParams_BC-_PYR_GABA_weight=0.0009,netParams_conn_2023-07-30_22-45-39"
5,"netParams.connParams.BC->BC_GABA.weight       0.004984
netParams.connParams.PYR->BC_NMDA.weight      0.001999
netParams.connParams.BC->PYR_GABA.weight      0.000483
netParams.connParams.PYR->OLM_NMDA.weight     0.001026
netParams.connParams.OLM->PYR_GABA.weight     0.040684
netParams.connParams.PYR->PYR_NMDA.weight     0.000005
PYR                                           3.100000
BC                                           22.100000
OLM                                           4.490000
dtype: float64",3.1,22.1,4.49,2.286000000000004,31.856476068496704,False,1,8a9c1f9c,2023-07-30_22-46-43,1690771603,31.856476068496704,292960,node17,10.0.0.17,31.856476068496704,1,0.004983951833556472,0.00048277736905484993,0.04068371469494012,0.0019994620414095997,0.0010259424231521914,5.233589392465845e-06,"/ddn/jchen/dev/optimization/batchdir/ray_ses/bopt/objective_8a9c1f9c_6_netParams_connParams_BC-_BC_GABA_weight=0.0050,netParams_connParams_BC-_PYR_GABA_weight=0.0005,netParams_conn_2023-07-30_22-46-11"
6,"netParams.connParams.BC->BC_GABA.weight       0.003621
netParams.connParams.PYR->BC_NMDA.weight      0.001297
netParams.connParams.BC->PYR_GABA.weight      0.000430
netParams.connParams.PYR->OLM_NMDA.weight     0.000435
netParams.connParams.OLM->PYR_GABA.weight     0.085265
netParams.connParams.PYR->PYR_NMDA.weight     0.000004
PYR                                           4.250000
BC                                           24.700000
OLM                                           2.750000
dtype: float64",4.25,24.7,2.75,8.782166666666667,32.42462205886841,False,1,3b81e0f5,2023-07-30_22-47-16,1690771636,32.42462205886841,292960,node17,10.0.0.17,32.42462205886841,1,0.0036207619612801676,0.00043032392208459643,0.08526477790887528,0.0012974104413606496,0.0004354267643913452,3.980707640445081e-06,"/ddn/jchen/dev/optimization/batchdir/ray_ses/bopt/objective_3b81e0f5_7_netParams_connParams_BC-_BC_GABA_weight=0.0036,netParams_connParams_BC-_PYR_GABA_weight=0.0004,netParams_conn_2023-07-30_22-46-43"
7,"netParams.connParams.BC->BC_GABA.weight       0.002405
netParams.connParams.PYR->BC_NMDA.weight      0.001604
netParams.connParams.BC->PYR_GABA.weight      0.001015
netParams.connParams.PYR->OLM_NMDA.weight     0.000568
netParams.connParams.OLM->PYR_GABA.weight     0.054632
netParams.connParams.PYR->PYR_NMDA.weight     0.000004
PYR                                           3.090000
BC                                           23.100000
OLM                                           1.880000
dtype: float64",3.09,23.1,1.88,4.716866666666672,32.66709232330322,False,1,a501ce50,2023-07-30_22-47-49,1690771669,32.66709232330322,292960,node17,10.0.0.17,32.66709232330322,1,0.0024047483450184825,0.001014710689496723,0.054632158675201214,0.001604280752408495,0.0005681977532625876,4.080272084711244e-06,"/ddn/jchen/dev/optimization/batchdir/ray_ses/bopt/objective_a501ce50_8_netParams_connParams_BC-_BC_GABA_weight=0.0024,netParams_connParams_BC-_PYR_GABA_weight=0.0010,netParams_conn_2023-07-30_22-47-16"
8,"netParams.connParams.BC->BC_GABA.weight       0.004710
netParams.connParams.PYR->BC_NMDA.weight      0.001760
netParams.connParams.BC->PYR_GABA.weight      0.000493
netParams.connParams.PYR->OLM_NMDA.weight     0.001008
netParams.connParams.OLM->PYR_GABA.weight     0.105810
netParams.connParams.PYR->PYR_NMDA.weight     0.000006
PYR                                           2.700000
BC                                           16.300000
OLM                                           3.670000
dtype: float64",2.7,16.3,3.67,4.003199999999996,33.21507453918457,False,1,1a8e37fc,2023-07-30_22-48-22,1690771702,33.21507453918457,292960,node17,10.0.0.17,33.21507453918457,1,0.004710196257044758,0.0004930952079783795,0.10581009319904819,0.0017596832962383378,0.0010076492590949324,5.579309401710595e-06,"/ddn/jchen/dev/optimization/batchdir/ray_ses/bopt/objective_1a8e37fc_9_netParams_connParams_BC-_BC_GABA_weight=0.0047,netParams_connParams_BC-_PYR_GABA_weight=0.0005,netParams_conn_2023-07-30_22-47-49"
9,"netParams.connParams.BC->BC_GABA.weight       0.004941
netParams.connParams.PYR->BC_NMDA.weight      0.000960
netParams.connParams.BC->PYR_GABA.weight      0.001024
netParams.connParams.PYR->OLM_NMDA.weight     0.000382
netParams.connParams.OLM->PYR_GABA.weight     0.042371
netParams.connParams.PYR->PYR_NMDA.weight     0.000003
PYR                                           4.800000
BC                                           21.100000
OLM                                           2.230000
dtype: float64",4.8,21.1,2.23,1.876400000000002,35.9173800945282,False,1,bfeeadbb,2023-07-30_22-48-58,1690771738,35.9173800945282,292960,node17,10.0.0.17,35.9173800945282,1,0.004940549904649882,0.0010237494492166441,0.042371460147738196,0.0009604563501384203,0.0003816591022373766,3.3013213230530577e-06,"/ddn/jchen/dev/optimization/batchdir/ray_ses/bopt/objective_bfeeadbb_10_netParams_connParams_BC-_BC_GABA_weight=0.0049,netParams_connParams_BC-_PYR_GABA_weight=0.0010,netParams_con_2023-07-30_22-48-22"
10,"netParams.connParams.BC->BC_GABA.weight       0.005641
netParams.connParams.PYR->BC_NMDA.weight      0.001196
netParams.connParams.BC->PYR_GABA.weight      0.000977
netParams.connParams.PYR->OLM_NMDA.weight     0.000659
netParams.connParams.OLM->PYR_GABA.weight     0.078490
netParams.connParams.PYR->PYR_NMDA.weight     0.000005
PYR                                           3.640000
BC                                           15.900000
OLM                                           3.350000
dtype: float64",3.64,15.9,3.35,4.8481333333333305,32.93863534927368,False,1,4bf4cc36,2023-07-30_22-49-31,1690771771,32.93863534927368,292960,node17,10.0.0.17,32.93863534927368,1,0.005640930587190732,0.0009774330307052064,0.07848956476347455,0.0011955387269923956,0.0006586770306988754,5.144915460139128e-06,"/ddn/jchen/dev/optimization/batchdir/ray_ses/bopt/objective_4bf4cc36_11_netParams_connParams_BC-_BC_GABA_weight=0.0056,netParams_connParams_BC-_PYR_GABA_weight=0.0010,netParams_con_2023-07-30_22-48-58"
11,"netParams.connParams.BC->BC_GABA.weight       0.002809
netParams.connParams.PYR->BC_NMDA.weight      0.000906
netParams.connParams.BC->PYR_GABA.weight      0.000873
netParams.connParams.PYR->OLM_NMDA.weight     0.000794
netParams.connParams.OLM->PYR_GABA.weight     0.089330
netParams.connParams.PYR->PYR_NMDA.weight     0.000006
PYR                                           3.050000
BC                                           16.200000
OLM                                           3.810000
dtype: float64",3.05,16.2,3.81,4.1499,32.453317642211914,False,1,d2365538,2023-07-30_22-50-04,1690771804,32.453317642211914,292960,node17,10.0.0.17,32.453317642211914,1,0.0028089227727069134,0.000873155750408841,0.08932952331400423,0.0009058532488579401,0.0007936731386657221,5.539556318417975e-06,"/ddn/jchen/dev/optimization/batchdir/ray_ses/bopt/objective_d2365538_12_netParams_connParams_BC-_BC_GABA_weight=0.0028,netParams_connParams_BC-_PYR_GABA_weight=0.0009,netParams_con_2023-07-30_22-49-31"
12,"netParams.connParams.BC->BC_GABA.weight       0.004237
netParams.connParams.PYR->BC_NMDA.weight      0.001450
netParams.connParams.BC->PYR_GABA.weight      0.000999
netParams.connParams.PYR->OLM_NMDA.weight     0.000766
netParams.connParams.OLM->PYR_GABA.weight     0.050316
netParams.connParams.PYR->PYR_NMDA.weight     0.000004
PYR                                           3.070000
BC                                           19.600000
OLM                                           3.150000
dtype: float64",3.07,19.6,3.15,0.0617666666666665,32.76489210128784,False,1,40ab89d5,2023-07-30_22-50-37,1690771837,32.76489210128784,292960,node17,10.0.0.17,32.76489210128784,1,0.004237349720968606,0.0009990917716629747,0.050316492783677086,0.0014501018225072798,0.0007659443530099644,3.859879981976542e-06,"/ddn/jchen/dev/optimization/batchdir/ray_ses/bopt/objective_40ab89d5_13_netParams_connParams_BC-_BC_GABA_weight=0.0042,netParams_connParams_BC-_PYR_GABA_weight=0.0010,netParams_con_2023-07-30_22-50-04"
13,"netParams.connParams.BC->BC_GABA.weight       0.004138
netParams.connParams.PYR->BC_NMDA.weight      0.001706
netParams.connParams.BC->PYR_GABA.weight      0.000969
netParams.connParams.PYR->OLM_NMDA.weight     0.000869
netParams.connParams.OLM->PYR_GABA.weight     0.049711
netParams.connParams.PYR->PYR_NMDA.weight     0.000002
PYR                                           2.810000
BC                                           19.200000
OLM                                           2.970000
dtype: float64",2.81,19.2,2.97,0.2602999999999999,33.137619733810425,False,1,6aacb65d,2023-07-30_22-51-10,1690771870,33.137619733810425,292960,node17,10.0.0.17,33.137619733810425,1,0.0041378062644583,0.000969131279172883,0.04971125738410947,0.001706406835014307,0.0008688368598558274,2.4014369928167256e-06,"/ddn/jchen/dev/optimization/batchdir/ray_ses/bopt/objective_6aacb65d_14_netParams_connParams_BC-_BC_GABA_weight=0.0041,netParams_connParams_BC-_PYR_GABA_weight=0.0010,netParams_con_2023-07-30_22-50-37"
14,"netParams.connParams.BC->BC_GABA.weight       0.004220
netParams.connParams.PYR->BC_NMDA.weight      0.000692
netParams.connParams.BC->PYR_GABA.weight      0.000476
netParams.connParams.PYR->OLM_NMDA.weight     0.001049
netParams.connParams.OLM->PYR_GABA.weight     0.046099
netParams.connParams.PYR->PYR_NMDA.weight     0.000004
PYR                                           4.830000
BC                                           19.600000
OLM                                           8.200000
dtype: float64",4.83,19.6,8.2,8.200999999999995,33.09164500236511,False,1,69278fa9,2023-07-30_22-51-43,1690771903,33.09164500236511,292960,node17,10.0.0.17,33.09164500236511,1,0.004220237434236225,0.00047623020891273305,0.04609871921339367,0.000692092275881635,0.0010485936830810169,4.1312743587356e-06,"/ddn/jchen/dev/optimization/batchdir/ray_ses/bopt/objective_69278fa9_15_netParams_connParams_BC-_BC_GABA_weight=0.0042,netParams_connParams_BC-_PYR_GABA_weight=0.0005,netParams_con_2023-07-30_22-51-10"
