,sdata,PYR,BC,OLM,loss,time_this_iter_s,done,training_iteration,trial_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/netParams.connParams.PYR->BC_AMPA.weight,config/netParams.connParams.PYR->BC_NMDA.weight,config/netParams.connParams.PYR->OLM_AMPA.weight,config/netParams.connParams.PYR->OLM_NMDA.weight,config/netParams.connParams.PYR->PYR_AMPA.weight,config/netParams.connParams.PYR->PYR_NMDA.weight,logdir
0,"netParams.connParams.PYR->BC_AMPA.weight      0.000245
netParams.connParams.PYR->BC_NMDA.weight      0.002070
netParams.connParams.PYR->OLM_AMPA.weight     0.000356
netParams.connParams.PYR->OLM_NMDA.weight     0.000623
netParams.connParams.PYR->PYR_AMPA.weight     0.000022
netParams.connParams.PYR->PYR_NMDA.weight     0.000005
PYR                                           3.270000
BC                                           19.700000
OLM                                           2.210000
dtype: float64",3.27,19.7,2.21,0.5308333333333335,44.305790185928345,False,1,fc74ff5d,2023-07-29_11-57-39,1690646259,44.305790185928345,264052,node09,10.0.0.9,44.305790185928345,1,0.0002448,0.00207,0.0003564,0.0006230000000000001,2.18e-05,5.24e-06,"/ddn/jchen/ray_results/objective_2023-07-29_11-56-42/objective_fc74ff5d_1_netParams_connParams_PYR-_BC_AMPA_weight=0.0002,netParams_connParams_PYR-_BC_NMDA_weight=0.0021,netParams_con_2023-07-29_11-56-47"
1,"netParams.connParams.PYR->BC_AMPA.weight      0.000205
netParams.connParams.PYR->BC_NMDA.weight      0.001145
netParams.connParams.PYR->OLM_AMPA.weight     0.000338
netParams.connParams.PYR->OLM_NMDA.weight     0.001008
netParams.connParams.PYR->PYR_AMPA.weight     0.000015
netParams.connParams.PYR->PYR_NMDA.weight     0.000002
PYR                                           2.970000
BC                                           12.100000
OLM                                           3.490000
dtype: float64",2.97,12.1,3.49,19.2991,32.25253391265869,False,1,989f04e5,2023-07-29_11-58-11,1690646291,32.25253391265869,264052,node09,10.0.0.9,32.25253391265869,1,0.0002052,0.0011454,0.0003384,0.001008,1.54e-05,2.12e-06,"/ddn/jchen/ray_results/objective_2023-07-29_11-56-42/objective_989f04e5_2_netParams_connParams_PYR-_BC_AMPA_weight=0.0002,netParams_connParams_PYR-_BC_NMDA_weight=0.0011,netParams_con_2023-07-29_11-57-39"
2,"netParams.connParams.PYR->BC_AMPA.weight      0.000212
netParams.connParams.PYR->BC_NMDA.weight      0.001518
netParams.connParams.PYR->OLM_AMPA.weight     0.000227
netParams.connParams.PYR->OLM_NMDA.weight     0.000980
netParams.connParams.PYR->PYR_AMPA.weight     0.000028
netParams.connParams.PYR->PYR_NMDA.weight     0.000006
PYR                                           3.430000
BC                                           22.200000
OLM                                           5.750000
dtype: float64",3.43,22.2,5.75,3.8188333333333326,32.06724405288696,False,1,3bdbcbfd,2023-07-29_11-58-43,1690646323,32.06724405288696,264052,node09,10.0.0.9,32.06724405288696,1,0.0002124,0.0015179999999999998,0.0002268,0.00098,2.8000000000000003e-05,5.68e-06,"/ddn/jchen/ray_results/objective_2023-07-29_11-56-42/objective_3bdbcbfd_3_netParams_connParams_PYR-_BC_AMPA_weight=0.0002,netParams_connParams_PYR-_BC_NMDA_weight=0.0015,netParams_con_2023-07-29_11-58-11"
3,"netParams.connParams.PYR->BC_AMPA.weight      0.000364
netParams.connParams.PYR->BC_NMDA.weight      0.001946
netParams.connParams.PYR->OLM_AMPA.weight     0.000403
netParams.connParams.PYR->OLM_NMDA.weight     0.000399
netParams.connParams.PYR->PYR_AMPA.weight     0.000027
netParams.connParams.PYR->PYR_NMDA.weight     0.000004
PYR                                           3.880000
BC                                           21.700000
OLM                                           1.830000
dtype: float64",3.88,21.7,1.83,2.3270666666666666,34.47847080230713,False,1,2e0b5aad,2023-07-29_11-59-18,1690646358,34.47847080230713,264052,node09,10.0.0.9,34.47847080230713,1,0.00036360000000000006,0.0019458000000000001,0.00040320000000000004,0.000399,2.6600000000000003e-05,3.76e-06,"/ddn/jchen/ray_results/objective_2023-07-29_11-56-42/objective_2e0b5aad_4_netParams_connParams_PYR-_BC_AMPA_weight=0.0004,netParams_connParams_PYR-_BC_NMDA_weight=0.0019,netParams_con_2023-07-29_11-58-43"
4,"netParams.connParams.PYR->BC_AMPA.weight      0.000529
netParams.connParams.PYR->BC_NMDA.weight      0.000952
netParams.connParams.PYR->OLM_AMPA.weight     0.000371
netParams.connParams.PYR->OLM_NMDA.weight     0.000497
netParams.connParams.PYR->PYR_AMPA.weight     0.000018
netParams.connParams.PYR->PYR_NMDA.weight     0.000006
PYR                                           4.340000
BC                                           19.300000
OLM                                           2.400000
dtype: float64",4.34,19.3,2.4,0.7682999999999999,33.084527254104614,False,1,71c9713a,2023-07-29_11-59-51,1690646391,33.084527254104614,264052,node09,10.0.0.9,33.084527254104614,1,0.0005292000000000001,0.0009521999999999999,0.0003708,0.000497,1.8000000000000004e-05,5.88e-06,"/ddn/jchen/ray_results/objective_2023-07-29_11-56-42/objective_71c9713a_5_netParams_connParams_PYR-_BC_AMPA_weight=0.0005,netParams_connParams_PYR-_BC_NMDA_weight=0.0010,netParams_con_2023-07-29_11-59-18"
5,"netParams.connParams.PYR->BC_AMPA.weight      0.000396
netParams.connParams.PYR->BC_NMDA.weight      0.002056
netParams.connParams.PYR->OLM_AMPA.weight     0.000482
netParams.connParams.PYR->OLM_NMDA.weight     0.001015
netParams.connParams.PYR->PYR_AMPA.weight     0.000017
netParams.connParams.PYR->PYR_NMDA.weight     0.000005
PYR                                           2.590000
BC                                           18.700000
OLM                                           3.680000
dtype: float64",2.59,18.7,3.68,0.5355333333333333,32.79295086860657,False,1,042bac8c,2023-07-29_12-00-24,1690646424,32.79295086860657,264052,node09,10.0.0.9,32.79295086860657,1,0.00039600000000000003,0.0020561999999999998,0.0004824,0.001015,1.66e-05,5.0800000000000005e-06,"/ddn/jchen/ray_results/objective_2023-07-29_11-56-42/objective_042bac8c_6_netParams_connParams_PYR-_BC_AMPA_weight=0.0004,netParams_connParams_PYR-_BC_NMDA_weight=0.0021,netParams_con_2023-07-29_11-59-51"
6,"netParams.connParams.PYR->BC_AMPA.weight      0.000468
netParams.connParams.PYR->BC_NMDA.weight      0.001339
netParams.connParams.PYR->OLM_AMPA.weight     0.000198
netParams.connParams.PYR->OLM_NMDA.weight     0.000420
netParams.connParams.PYR->PYR_AMPA.weight     0.000029
netParams.connParams.PYR->PYR_NMDA.weight     0.000005
PYR                                           4.630000
BC                                           25.800000
OLM                                           2.080000
dtype: float64",4.63,25.8,2.08,13.602066666666673,32.37196373939514,False,1,e895d2de,2023-07-29_12-00-56,1690646456,32.37196373939514,264052,node09,10.0.0.9,32.37196373939514,1,0.000468,0.0013386000000000001,0.00019800000000000002,0.00042,2.8800000000000002e-05,5.16e-06,"/ddn/jchen/ray_results/objective_2023-07-29_11-56-42/objective_e895d2de_7_netParams_connParams_PYR-_BC_AMPA_weight=0.0005,netParams_connParams_PYR-_BC_NMDA_weight=0.0013,netParams_con_2023-07-29_12-00-24"
7,"netParams.connParams.PYR->BC_AMPA.weight      0.000414
netParams.connParams.PYR->BC_NMDA.weight      0.001201
netParams.connParams.PYR->OLM_AMPA.weight     0.000302
netParams.connParams.PYR->OLM_NMDA.weight     0.000546
netParams.connParams.PYR->PYR_AMPA.weight     0.000025
netParams.connParams.PYR->PYR_NMDA.weight     0.000003
PYR                                           3.900000
BC                                           21.100000
OLM                                           2.770000
dtype: float64",3.9,21.1,2.77,0.921200000000002,33.11644911766052,False,1,bf9c6ea5,2023-07-29_12-01-29,1690646489,33.11644911766052,264052,node09,10.0.0.9,33.11644911766052,1,0.00041400000000000003,0.0012006,0.00030240000000000003,0.000546,2.48e-05,3.3999999999999996e-06,"/ddn/jchen/ray_results/objective_2023-07-29_11-56-42/objective_bf9c6ea5_8_netParams_connParams_PYR-_BC_AMPA_weight=0.0004,netParams_connParams_PYR-_BC_NMDA_weight=0.0012,netParams_con_2023-07-29_12-00-56"
8,"netParams.connParams.PYR->BC_AMPA.weight      0.000364
netParams.connParams.PYR->BC_NMDA.weight      0.001145
netParams.connParams.PYR->OLM_AMPA.weight     0.000421
netParams.connParams.PYR->OLM_NMDA.weight     0.001036
netParams.connParams.PYR->PYR_AMPA.weight     0.000026
netParams.connParams.PYR->PYR_NMDA.weight     0.000004
PYR                                           2.890000
BC                                           14.700000
OLM                                           3.870000
dtype: float64",2.89,14.7,3.87,8.454166666666667,32.85374426841736,False,1,2ee9fadb,2023-07-29_12-02-02,1690646522,32.85374426841736,264052,node09,10.0.0.9,32.85374426841736,1,0.00036360000000000006,0.0011454,0.00042120000000000005,0.001036,2.6400000000000005e-05,4.4e-06,"/ddn/jchen/ray_results/objective_2023-07-29_11-56-42/objective_2ee9fadb_9_netParams_connParams_PYR-_BC_AMPA_weight=0.0004,netParams_connParams_PYR-_BC_NMDA_weight=0.0011,netParams_con_2023-07-29_12-01-29"
9,"netParams.connParams.PYR->BC_AMPA.weight      0.000288
netParams.connParams.PYR->BC_NMDA.weight      0.001145
netParams.connParams.PYR->OLM_AMPA.weight     0.000511
netParams.connParams.PYR->OLM_NMDA.weight     0.000616
netParams.connParams.PYR->PYR_AMPA.weight     0.000026
netParams.connParams.PYR->PYR_NMDA.weight     0.000006
PYR                                           3.520000
BC                                           19.300000
OLM                                           4.210000
dtype: float64",3.52,19.3,4.21,0.2466666666666661,32.48456931114197,False,1,94d3e5fb,2023-07-29_12-02-35,1690646555,32.48456931114197,264052,node09,10.0.0.9,32.48456931114197,1,0.000288,0.0011454,0.0005112000000000001,0.000616,2.5800000000000004e-05,5.9600000000000005e-06,"/ddn/jchen/ray_results/objective_2023-07-29_11-56-42/objective_94d3e5fb_10_netParams_connParams_PYR-_BC_AMPA_weight=0.0003,netParams_connParams_PYR-_BC_NMDA_weight=0.0011,netParams_co_2023-07-29_12-02-02"
10,"netParams.connParams.PYR->BC_AMPA.weight      0.000306
netParams.connParams.PYR->BC_NMDA.weight      0.000773
netParams.connParams.PYR->OLM_AMPA.weight     0.000533
netParams.connParams.PYR->OLM_NMDA.weight     0.000700
netParams.connParams.PYR->PYR_AMPA.weight     0.000010
netParams.connParams.PYR->PYR_NMDA.weight     0.000003
PYR                                           3.740000
BC                                           16.500000
OLM                                           5.380000
dtype: float64",3.74,16.5,5.38,4.682699999999998,32.49512958526611,False,1,c48b5f57,2023-07-29_12-03-07,1690646587,32.49512958526611,264052,node09,10.0.0.9,32.49512958526611,1,0.000306,0.0007727999999999999,0.0005328,0.0007,1.04e-05,2.8e-06,"/ddn/jchen/ray_results/objective_2023-07-29_11-56-42/objective_c48b5f57_11_netParams_connParams_PYR-_BC_AMPA_weight=0.0003,netParams_connParams_PYR-_BC_NMDA_weight=0.0008,netParams_co_2023-07-29_12-02-35"
11,"netParams.connParams.PYR->BC_AMPA.weight      0.000281
netParams.connParams.PYR->BC_NMDA.weight      0.001642
netParams.connParams.PYR->OLM_AMPA.weight     0.000284
netParams.connParams.PYR->OLM_NMDA.weight     0.000693
netParams.connParams.PYR->PYR_AMPA.weight     0.000022
netParams.connParams.PYR->PYR_NMDA.weight     0.000005
PYR                                           3.290000
BC                                           20.400000
OLM                                           2.770000
dtype: float64",3.29,20.4,2.77,0.3274999999999997,33.49763607978821,False,1,466ed745,2023-07-29_12-03-41,1690646621,33.49763607978821,264052,node09,10.0.0.9,33.49763607978821,1,0.0002808,0.0016422,0.00028440000000000003,0.000693,2.2200000000000004e-05,4.76e-06,"/ddn/jchen/ray_results/objective_2023-07-29_11-56-42/objective_466ed745_12_netParams_connParams_PYR-_BC_AMPA_weight=0.0003,netParams_connParams_PYR-_BC_NMDA_weight=0.0016,netParams_co_2023-07-29_12-03-07"
12,"netParams.connParams.PYR->BC_AMPA.weight      0.000288
netParams.connParams.PYR->BC_NMDA.weight      0.001587
netParams.connParams.PYR->OLM_AMPA.weight     0.000274
netParams.connParams.PYR->OLM_NMDA.weight     0.000812
netParams.connParams.PYR->PYR_AMPA.weight     0.000022
netParams.connParams.PYR->PYR_NMDA.weight     0.000005
PYR                                           3.130000
BC                                           19.300000
OLM                                           3.130000
dtype: float64",3.13,19.3,3.13,0.1065666666666663,35.74513220787048,False,1,b7f4fba6,2023-07-29_12-04-17,1690646657,35.74513220787048,264052,node09,10.0.0.9,35.74513220787048,1,0.000288,0.0015869999999999999,0.00027360000000000004,0.000812,2.2400000000000002e-05,4.52e-06,"/ddn/jchen/ray_results/objective_2023-07-29_11-56-42/objective_b7f4fba6_13_netParams_connParams_PYR-_BC_AMPA_weight=0.0003,netParams_connParams_PYR-_BC_NMDA_weight=0.0016,netParams_co_2023-07-29_12-03-41"
13,"netParams.connParams.PYR->BC_AMPA.weight      0.000302
netParams.connParams.PYR->BC_NMDA.weight      0.001711
netParams.connParams.PYR->OLM_AMPA.weight     0.000256
netParams.connParams.PYR->OLM_NMDA.weight     0.000840
netParams.connParams.PYR->PYR_AMPA.weight     0.000024
netParams.connParams.PYR->PYR_NMDA.weight     0.000004
PYR                                           3.080000
BC                                           20.300000
OLM                                           3.550000
dtype: float64",3.08,20.3,3.55,0.1446666666666672,33.59342050552368,False,1,c06c1b96,2023-07-29_12-04-50,1690646690,33.59342050552368,264052,node09,10.0.0.9,33.59342050552368,1,0.00030240000000000003,0.0017112,0.00025560000000000003,0.00084,2.3600000000000004e-05,4.1199999999999995e-06,"/ddn/jchen/ray_results/objective_2023-07-29_11-56-42/objective_c06c1b96_14_netParams_connParams_PYR-_BC_AMPA_weight=0.0003,netParams_connParams_PYR-_BC_NMDA_weight=0.0017,netParams_co_2023-07-29_12-04-17"
14,"netParams.connParams.PYR->BC_AMPA.weight      0.000324
netParams.connParams.PYR->BC_NMDA.weight      0.001766
netParams.connParams.PYR->OLM_AMPA.weight     0.000256
netParams.connParams.PYR->OLM_NMDA.weight     0.000840
netParams.connParams.PYR->PYR_AMPA.weight     0.000022
netParams.connParams.PYR->PYR_NMDA.weight     0.000004
PYR                                           3.050000
BC                                           19.700000
OLM                                           2.780000
dtype: float64",3.05,19.7,2.78,0.1867333333333335,33.11012625694275,False,1,57eeba55,2023-07-29_12-05-24,1690646724,33.11012625694275,264052,node09,10.0.0.9,33.11012625694275,1,0.000324,0.0017664,0.00025560000000000003,0.00084,2.2200000000000004e-05,4.1199999999999995e-06,"/ddn/jchen/ray_results/objective_2023-07-29_11-56-42/objective_57eeba55_15_netParams_connParams_PYR-_BC_AMPA_weight=0.0003,netParams_connParams_PYR-_BC_NMDA_weight=0.0018,netParams_co_2023-07-29_12-04-51"
15,"netParams.connParams.PYR->BC_AMPA.weight      0.000248
netParams.connParams.PYR->BC_NMDA.weight      0.001766
netParams.connParams.PYR->OLM_AMPA.weight     0.000194
netParams.connParams.PYR->OLM_NMDA.weight     0.000847
netParams.connParams.PYR->PYR_AMPA.weight     0.000020
netParams.connParams.PYR->PYR_NMDA.weight     0.000003
PYR                                           3.010000
BC                                           18.800000
OLM                                           2.830000
dtype: float64",3.01,18.8,2.83,0.4428333333333325,33.19653391838074,False,1,786d6a9f,2023-07-29_12-05-57,1690646757,33.19653391838074,264052,node09,10.0.0.9,33.19653391838074,1,0.0002484,0.0017664,0.0001944,0.0008470000000000001,2.0200000000000003e-05,3.36e-06,"/ddn/jchen/ray_results/objective_2023-07-29_11-56-42/objective_786d6a9f_16_netParams_connParams_PYR-_BC_AMPA_weight=0.0002,netParams_connParams_PYR-_BC_NMDA_weight=0.0018,netParams_co_2023-07-29_12-05-24"
16,"netParams.connParams.PYR->BC_AMPA.weight      0.000184
netParams.connParams.PYR->BC_NMDA.weight      0.001490
netParams.connParams.PYR->OLM_AMPA.weight     0.000299
netParams.connParams.PYR->OLM_NMDA.weight     0.000840
netParams.connParams.PYR->PYR_AMPA.weight     0.000024
netParams.connParams.PYR->PYR_NMDA.weight     0.000004
PYR                                           3.140000
BC                                           18.200000
OLM                                           3.270000
dtype: float64",3.14,18.2,3.27,0.7766666666666667,33.85857462882996,False,1,ea19335c,2023-07-29_12-06-31,1690646791,33.85857462882996,264052,node09,10.0.0.9,33.85857462882996,1,0.00018360000000000002,0.0014904,0.0002988,0.00084,2.4e-05,4.44e-06,"/ddn/jchen/ray_results/objective_2023-07-29_11-56-42/objective_ea19335c_17_netParams_connParams_PYR-_BC_AMPA_weight=0.0002,netParams_connParams_PYR-_BC_NMDA_weight=0.0015,netParams_co_2023-07-29_12-05-57"
17,"netParams.connParams.PYR->BC_AMPA.weight      0.000331
netParams.connParams.PYR->BC_NMDA.weight      0.001794
netParams.connParams.PYR->OLM_AMPA.weight     0.000259
netParams.connParams.PYR->OLM_NMDA.weight     0.000917
netParams.connParams.PYR->PYR_AMPA.weight     0.000019
netParams.connParams.PYR->PYR_NMDA.weight     0.000004
PYR                                           2.750000
BC                                           16.700000
OLM                                           2.710000
dtype: float64",2.75,16.7,2.71,3.308566666666667,32.211740255355835,False,1,484093d3,2023-07-29_12-07-03,1690646823,32.211740255355835,264052,node09,10.0.0.9,32.211740255355835,1,0.00033120000000000003,0.001794,0.0002592,0.0009170000000000001,1.92e-05,3.8e-06,"/ddn/jchen/ray_results/objective_2023-07-29_11-56-42/objective_484093d3_18_netParams_connParams_PYR-_BC_AMPA_weight=0.0003,netParams_connParams_PYR-_BC_NMDA_weight=0.0018,netParams_co_2023-07-29_12-06-31"
18,"netParams.connParams.PYR->BC_AMPA.weight      0.000245
netParams.connParams.PYR->BC_NMDA.weight      0.001615
netParams.connParams.PYR->OLM_AMPA.weight     0.000331
netParams.connParams.PYR->OLM_NMDA.weight     0.000770
netParams.connParams.PYR->PYR_AMPA.weight     0.000014
netParams.connParams.PYR->PYR_NMDA.weight     0.000003
PYR                                           3.270000
BC                                           20.400000
OLM                                           3.330000
dtype: float64",3.27,20.4,3.33,0.1714999999999996,32.0577392578125,False,1,de7de240,2023-07-29_12-07-35,1690646855,32.0577392578125,264052,node09,10.0.0.9,32.0577392578125,1,0.0002448,0.0016145999999999999,0.00033120000000000003,0.0007700000000000001,1.4400000000000001e-05,2.76e-06,"/ddn/jchen/ray_results/objective_2023-07-29_11-56-42/objective_de7de240_19_netParams_connParams_PYR-_BC_AMPA_weight=0.0002,netParams_connParams_PYR-_BC_NMDA_weight=0.0016,netParams_co_2023-07-29_12-07-03"
